class_tag,Overall score Excellent,Overall score Very Good,Overall score Good,Overall score Fair,Overall score Unsatisfactory,Overall score Course Mean,Overall score FAS Mean,Materials Excellent,Materials Very Good,Materials Good,Materials Fair,Materials Unsatisfactory,Materials Course Mean,Materials FAS Mean,Assignments Excellent,Assignments Very Good,Assignments Good,Assignments Fair,Assignments Unsatisfactory,Assignments Course Mean,Assignments FAS Mean,Feedback Excellent,Feedback Very Good,Feedback Good,Feedback Fair,Feedback Unsatisfactory,Feedback Course Mean,Feedback FAS Mean,Section Excellent,Section Very Good,Section Good,Section Fair,Section Unsatisfactory,Section Course Mean,Section FAS Mean,mean_hours
HIST 3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3010 057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST 3900,29%,29%,43%,0%,0%,3.86,4.20,29%,29%,14%,14%,14%,3.43,4.18,67%,17%,17%,0%,0%,4.50,4.04,57%,29%,14%,0%,0%,4.43,4.07,100%,0%,0%,0%,0%,5.00,4.20,9.00
HIST 3920A,40%,60%,0%,0%,0%,4.40,4.20,40%,20%,40%,0%,0%,4.00,4.18,33%,33%,33%,0%,0%,4.00,4.04,75%,25%,0%,0%,0%,4.75,4.07,N/A,N/A,N/A,N/A,N/A,NRP,4.20,2.75
HIST 3920B,43%,14%,43%,0%,0%,4.00,4.22,40%,20%,20%,20%,0%,3.80,4.22,60%,20%,20%,0%,0%,4.40,4.10,40%,0%,40%,20%,0%,3.60,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.25,1.75
HIST 3940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 91R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 97 001,17%,35%,39%,4%,4%,3.57,4.22,35%,22%,26%,13%,4%,3.70,4.22,17%,35%,30%,17%,0%,3.52,4.10,52%,17%,30%,0%,0%,4.22,4.11,65%,26%,9%,0%,0%,4.57,4.25,4.39
HISTSCI 97 002,23%,50%,19%,4%,4%,3.85,4.22,50%,29%,17%,0%,4%,4.21,4.22,48%,24%,24%,4%,0%,4.16,4.10,52%,28%,16%,4%,0%,4.28,4.11,60%,28%,8%,4%,0%,4.44,4.25,5.65
HISTSCI 98,67%,17%,17%,0%,0%,4.50,4.22,50%,17%,33%,0%,0%,4.17,4.22,33%,33%,17%,17%,0%,3.83,4.10,67%,33%,0%,0%,0%,4.67,4.11,60%,20%,20%,0%,0%,4.40,4.25,6.00
HISTSCI 98,67%,17%,17%,0%,0%,4.50,4.22,50%,17%,33%,0%,0%,4.17,4.22,33%,33%,17%,17%,0%,3.83,4.10,67%,33%,0%,0%,0%,4.67,4.11,60%,20%,20%,0%,0%,4.40,4.25,6.00
HISTSCI 99A 001,31%,31%,23%,15%,0%,3.77,4.20,44%,22%,33%,0%,0%,4.11,4.18,64%,27%,9%,0%,0%,4.55,4.04,54%,31%,8%,8%,0%,4.31,4.07,50%,0%,17%,33%,0%,3.67,4.20,8.08
HISTSCI 99A 002,45%,36%,18%,0%,0%,4.27,4.20,67%,33%,0%,0%,0%,4.67,4.18,71%,29%,0%,0%,0%,4.71,4.04,44%,33%,22%,0%,0%,4.22,4.07,75%,25%,0%,0%,0%,4.75,4.20,6.73
HISTSCI 99B 001,47%,33%,13%,7%,0%,4.20,4.22,80%,0%,0%,20%,0%,4.40,4.22,71%,0%,0%,29%,0%,4.14,4.10,83%,0%,17%,0%,0%,4.67,4.11,67%,0%,0%,33%,0%,4.00,4.25,10.27
HISTSCI 99B 002,64%,27%,9%,0%,0%,4.55,4.22,100%,0%,0%,0%,0%,5.00,4.22,50%,50%,0%,0%,0%,4.50,4.10,71%,14%,14%,0%,0%,4.57,4.11,100%,0%,0%,0%,0%,5.00,4.25,11.27
HISTSCI 100,47%,41%,11%,2%,0%,4.33,4.20,58%,32%,11%,0%,0%,4.47,4.18,48%,40%,12%,0%,0%,4.35,4.04,58%,33%,9%,0%,0%,4.48,4.07,58%,25%,11%,5%,2%,4.34,4.20,4.54
HISTSCI 1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1441,90%,10%,0%,0%,0%,4.90,4.17,91%,9%,0%,0%,0%,4.91,4.16,82%,18%,0%,0%,0%,4.82,4.02,70%,30%,0%,0%,0%,4.70,4.03,100%,0%,0%,0%,0%,5.00,4.17,4.64
HISTSCI 1445,82%,18%,0%,0%,0%,4.82,4.18,88%,13%,0%,0%,0%,4.88,4.19,65%,29%,0%,6%,0%,4.53,4.05,82%,12%,6%,0%,0%,4.76,4.08,88%,13%,0%,0%,0%,4.88,4.22,5.12
HISTSCI 1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1780,71%,24%,6%,0%,0%,4.65,4.17,63%,31%,6%,0%,0%,4.56,4.16,69%,31%,0%,0%,0%,4.69,4.02,56%,19%,25%,0%,0%,4.31,4.03,100%,0%,0%,0%,0%,5.00,4.17,4.13
HISTSCI 1821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 1955,50%,44%,6%,0%,0%,4.44,4.22,50%,39%,11%,0%,0%,4.39,4.22,61%,33%,6%,0%,0%,4.56,4.10,47%,35%,18%,0%,0%,4.29,4.11,N/A,N/A,N/A,N/A,N/A,NRP,4.25,4.50
HISTSCI 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 2445,0%,17%,17%,50%,17%,2.33,4.18,0%,33%,33%,33%,0%,3.00,4.19,0%,20%,60%,0%,20%,2.80,4.05,0%,0%,0%,0%,100%,1.00,4.08,0%,0%,100%,0%,0%,3.00,4.22,5.33
HISTSCI 2510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 2843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 2953,62%,15%,23%,0%,0%,4.38,4.18,71%,7%,21%,0%,0%,4.50,4.19,50%,14%,29%,7%,0%,4.07,4.05,43%,21%,29%,7%,0%,4.00,4.08,75%,17%,8%,0%,0%,4.67,4.22,7.50
HISTSCI 2985,50%,29%,21%,0%,0%,4.29,4.20,71%,14%,7%,7%,0%,4.50,4.18,54%,31%,15%,0%,0%,4.38,4.04,63%,13%,13%,13%,0%,4.25,4.07,50%,0%,50%,0%,0%,4.00,4.20,11.31
HISTSCI 3000 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3000 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3001 026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTSCI 3002 005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
